renamed	dataset	sample_type
ABCS_04777	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04778	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04779	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04780	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04781	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04782	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04783	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04784	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04785	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04786	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04787	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04788	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04789	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04790	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04791	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04792	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04793	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04794	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04795	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04796	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04797	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04798	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
ABCS_04799	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04800	LAML_TARGET	Primary Blood Derived Cancer - Bone Marrow
ABCS_04801	LAML_TARGET	Primary Blood Derived Cancer - Peripheral Blood
