renamed	dataset	sample_type
ABCS_06318	LUAD	Primary Tumor
ABCS_06319	LUAD	Primary Tumor
ABCS_06320	LUAD	Primary Tumor
ABCS_06321	LUAD	Primary Tumor
ABCS_06322	LUAD	Primary Tumor
ABCS_06323	LUAD	Primary Tumor
ABCS_06324	LUAD	Primary Tumor
ABCS_06325	LUAD	Primary Tumor
ABCS_06326	LUAD	Primary Tumor
ABCS_06327	LUAD	Primary Tumor
ABCS_06328	LUAD	Primary Tumor
ABCS_06329	LUAD	Primary Tumor
ABCS_06330	LUAD	Primary Tumor
ABCS_06331	LUAD	Primary Tumor
ABCS_06332	LUAD	Primary Tumor
ABCS_06333	LUAD	Primary Tumor
ABCS_06334	LUAD	Primary Tumor
ABCS_06335	LUAD	Primary Tumor
ABCS_06336	LUAD	Primary Tumor
ABCS_06337	LUAD	Primary Tumor
ABCS_06338	LUAD	Primary Tumor
ABCS_06339	LUAD	Primary Tumor
ABCS_06340	LUAD	Primary Tumor
ABCS_06341	LUAD	Primary Tumor
ABCS_06342	LUAD	Primary Tumor
ABCS_06343	LUAD	Primary Tumor
ABCS_06344	LUAD	Primary Tumor
ABCS_06345	LUAD	Primary Tumor
ABCS_06346	LUAD	Primary Tumor
ABCS_06347	LUAD	Primary Tumor
ABCS_06348	LUAD	Primary Tumor
ABCS_06801	LUSC	Primary Tumor
ABCS_06802	LUSC	Primary Tumor
ABCS_06803	LUSC	Primary Tumor
ABCS_06804	LUSC	Primary Tumor
ABCS_06805	LUSC	Primary Tumor
ABCS_06806	LUSC	Primary Tumor
ABCS_06807	LUSC	Primary Tumor
ABCS_06808	LUSC	Solid Tissue Normal
ABCS_06809	LUSC	Primary Tumor
ABCS_06810	LUSC	Primary Tumor
ABCS_06811	LUSC	Solid Tissue Normal
ABCS_06812	LUSC	Primary Tumor
ABCS_06813	LUSC	Solid Tissue Normal
ABCS_06814	LUSC	Primary Tumor
ABCS_06815	LUSC	Solid Tissue Normal
ABCS_06816	LUSC	Primary Tumor
ABCS_06817	LUSC	Solid Tissue Normal
ABCS_06818	LUSC	Primary Tumor
ABCS_06819	LUSC	Solid Tissue Normal
ABCS_06820	LUSC	Primary Tumor
ABCS_06821	LUSC	Primary Tumor
ABCS_06822	LUSC	Solid Tissue Normal
ABCS_06823	LUSC	Primary Tumor
ABCS_06824	LUSC	Solid Tissue Normal
ABCS_06825	LUSC	Primary Tumor
ABCS_06826	LUSC	Solid Tissue Normal
ABCS_06827	LUSC	Primary Tumor
ABCS_06828	LUSC	Solid Tissue Normal
ABCS_06829	LUSC	Primary Tumor
ABCS_06830	LUSC	Primary Tumor
ABCS_06831	LUSC	Primary Tumor
ABCS_06832	LUSC	Primary Tumor
ABCS_06833	LUSC	Primary Tumor
ABCS_06834	LUSC	Solid Tissue Normal
ABCS_06835	LUSC	Primary Tumor
ABCS_06836	LUSC	Primary Tumor
ABCS_06837	LUSC	Solid Tissue Normal
ABCS_06838	LUSC	Primary Tumor
ABCS_06839	LUSC	Primary Tumor
ABCS_06840	LUSC	Solid Tissue Normal
ABCS_06841	LUSC	Primary Tumor
ABCS_06842	LUSC	Solid Tissue Normal
ABCS_06843	LUSC	Primary Tumor
ABCS_06844	LUSC	Primary Tumor
ABCS_06845	LUSC	Primary Tumor
ABCS_06846	LUSC	Primary Tumor
ABCS_06847	LUSC	Solid Tissue Normal
ABCS_06848	LUSC	Primary Tumor
ABCS_06849	LUSC	Primary Tumor
ABCS_06850	LUSC	Primary Tumor
ABCS_06851	LUSC	Primary Tumor
ABCS_06852	LUSC	Primary Tumor
ABCS_06853	LUSC	Primary Tumor
ABCS_06854	LUSC	Primary Tumor
ABCS_06855	LUSC	Primary Tumor
ABCS_07656	OV	Primary Tumor
ABCS_07657	OV	Primary Tumor
ABCS_07658	OV	Primary Tumor
ABCS_07659	OV	Primary Tumor
ABCS_07660	OV	Primary Tumor
ABCS_07661	OV	Primary Tumor
ABCS_07662	OV	Primary Tumor
ABCS_06856	LUSC	Primary Tumor
ABCS_06857	LUSC	Solid Tissue Normal
ABCS_06858	LUSC	Primary Tumor
ABCS_06859	LUSC	Primary Tumor
ABCS_06860	LUSC	Primary Tumor
ABCS_06861	LUSC	Primary Tumor
ABCS_06862	LUSC	Primary Tumor
ABCS_06863	LUSC	Primary Tumor
ABCS_06864	LUSC	Solid Tissue Normal
ABCS_06865	LUSC	Primary Tumor
ABCS_06866	LUSC	Primary Tumor
ABCS_06867	LUSC	Primary Tumor
ABCS_06868	LUSC	Primary Tumor
ABCS_06869	LUSC	Primary Tumor
ABCS_07663	OV	Primary Tumor
ABCS_07664	OV	Primary Tumor
ABCS_07665	OV	Primary Tumor
ABCS_07666	OV	Primary Tumor
ABCS_07667	OV	Primary Tumor
ABCS_07668	OV	Primary Tumor
ABCS_07669	OV	Primary Tumor
ABCS_07670	OV	Primary Tumor
ABCS_10954	UCEC	Primary Tumor
ABCS_05649	LIHC	Primary Tumor
ABCS_05650	LIHC	Primary Tumor
ABCS_05651	LIHC	Primary Tumor
ABCS_10852	THYM	Primary Tumor
ABCS_10853	THYM	Primary Tumor
ABCS_00523	BRCA	Primary Tumor
ABCS_00524	BRCA	Primary Tumor
ABCS_02085	COAD	Primary Tumor
ABCS_02086	COAD	Primary Tumor
ABCS_02087	COAD	Primary Tumor
ABCS_02088	COAD	Primary Tumor
ABCS_02089	COAD	Primary Tumor
ABCS_00103	BLCA	Primary Tumor
ABCS_00104	BLCA	Primary Tumor
ABCS_04240	KIRP	Primary Tumor
ABCS_04241	KIRP	Primary Tumor
ABCS_04242	KIRP	Primary Tumor
ABCS_04243	KIRP	Primary Tumor
ABCS_04244	KIRP	Primary Tumor
ABCS_04245	KIRP	Primary Tumor
ABCS_04246	KIRP	Primary Tumor
ABCS_04247	KIRP	Primary Tumor
ABCS_04248	KIRP	Primary Tumor
ABCS_04249	KIRP	Primary Tumor
ABCS_04250	KIRP	Primary Tumor
ABCS_04251	KIRP	Primary Tumor
ABCS_04252	KIRP	Primary Tumor
ABCS_04253	KIRP	Primary Tumor
ABCS_04254	KIRP	Primary Tumor
ABCS_04255	KIRP	Primary Tumor
ABCS_04256	KIRP	Primary Tumor
ABCS_05652	LIHC	Primary Tumor
ABCS_05653	LIHC	Primary Tumor
ABCS_05654	LIHC	Primary Tumor
ABCS_10955	UCEC	Primary Tumor
ABCS_00525	BRCA	Primary Tumor
ABCS_10854	THYM	Primary Tumor
ABCS_10855	THYM	Primary Tumor
ABCS_10856	THYM	Primary Tumor
ABCS_10857	THYM	Primary Tumor
ABCS_07671	OV	Primary Tumor
ABCS_06870	LUSC	Primary Tumor
ABCS_06871	LUSC	Primary Tumor
ABCS_06872	LUSC	Primary Tumor
ABCS_06873	LUSC	Primary Tumor
ABCS_06874	LUSC	Primary Tumor
ABCS_06875	LUSC	Primary Tumor
ABCS_06876	LUSC	Primary Tumor
ABCS_06877	LUSC	Primary Tumor
ABCS_06878	LUSC	Primary Tumor
ABCS_06879	LUSC	Primary Tumor
ABCS_06880	LUSC	Primary Tumor
ABCS_06881	LUSC	Primary Tumor
ABCS_06882	LUSC	Primary Tumor
ABCS_06883	LUSC	Primary Tumor
ABCS_06884	LUSC	Primary Tumor
ABCS_06885	LUSC	Primary Tumor
ABCS_06886	LUSC	Primary Tumor
ABCS_06887	LUSC	Primary Tumor
ABCS_06888	LUSC	Primary Tumor
ABCS_06889	LUSC	Primary Tumor
ABCS_06890	LUSC	Primary Tumor
ABCS_06891	LUSC	Primary Tumor
ABCS_07672	OV	Primary Tumor
ABCS_07673	OV	Primary Tumor
ABCS_07674	OV	Primary Tumor
ABCS_07675	OV	Primary Tumor
ABCS_07676	OV	Primary Tumor
ABCS_07677	OV	Primary Tumor
ABCS_07678	OV	Primary Tumor
ABCS_07679	OV	Primary Tumor
ABCS_07680	OV	Primary Tumor
ABCS_07681	OV	Primary Tumor
ABCS_07682	OV	Primary Tumor
ABCS_07683	OV	Primary Tumor
ABCS_07684	OV	Primary Tumor
ABCS_07685	OV	Primary Tumor
ABCS_07686	OV	Primary Tumor
ABCS_07687	OV	Primary Tumor
ABCS_07688	OV	Primary Tumor
ABCS_07689	OV	Primary Tumor
ABCS_07690	OV	Primary Tumor
ABCS_07691	OV	Primary Tumor
ABCS_07692	OV	Primary Tumor
ABCS_07693	OV	Primary Tumor
ABCS_07694	OV	Primary Tumor
ABCS_07695	OV	Primary Tumor
ABCS_07696	OV	Primary Tumor
ABCS_07697	OV	Primary Tumor
ABCS_07698	OV	Primary Tumor
ABCS_07699	OV	Primary Tumor
ABCS_07700	OV	Primary Tumor
ABCS_07701	OV	Primary Tumor
ABCS_07702	OV	Primary Tumor
ABCS_07703	OV	Recurrent Tumor
ABCS_07704	OV	Primary Tumor
ABCS_07705	OV	Primary Tumor
ABCS_07706	OV	Primary Tumor
ABCS_07707	OV	Primary Tumor
ABCS_07708	OV	Primary Tumor
ABCS_07709	OV	Primary Tumor
ABCS_07710	OV	Primary Tumor
ABCS_07711	OV	Primary Tumor
ABCS_07712	OV	Primary Tumor
ABCS_07713	OV	Primary Tumor
ABCS_07714	OV	Primary Tumor
ABCS_07715	OV	Primary Tumor
ABCS_07716	OV	Primary Tumor
ABCS_07717	OV	Primary Tumor
ABCS_07718	OV	Primary Tumor
ABCS_07719	OV	Primary Tumor
ABCS_06349	LUAD	Primary Tumor
ABCS_06350	LUAD	Primary Tumor
ABCS_06351	LUAD	Primary Tumor
ABCS_06352	LUAD	Primary Tumor
ABCS_06353	LUAD	Primary Tumor
ABCS_06354	LUAD	Primary Tumor
ABCS_06355	LUAD	Primary Tumor
ABCS_06356	LUAD	Primary Tumor
ABCS_06357	LUAD	Primary Tumor
ABCS_06358	LUAD	Primary Tumor
ABCS_06359	LUAD	Primary Tumor
ABCS_06360	LUAD	Primary Tumor
ABCS_06361	LUAD	Primary Tumor
ABCS_06362	LUAD	Primary Tumor
ABCS_06363	LUAD	Primary Tumor
ABCS_06364	LUAD	Primary Tumor
ABCS_06892	LUSC	Primary Tumor
ABCS_06893	LUSC	Primary Tumor
ABCS_06894	LUSC	Primary Tumor
ABCS_06895	LUSC	Primary Tumor
ABCS_06896	LUSC	Primary Tumor
ABCS_06897	LUSC	Primary Tumor
ABCS_06898	LUSC	Primary Tumor
ABCS_06899	LUSC	Primary Tumor
ABCS_06900	LUSC	Primary Tumor
ABCS_06901	LUSC	Primary Tumor
ABCS_06902	LUSC	Primary Tumor
ABCS_06903	LUSC	Primary Tumor
ABCS_06904	LUSC	Primary Tumor
ABCS_06905	LUSC	Primary Tumor
ABCS_06906	LUSC	Primary Tumor
ABCS_06907	LUSC	Primary Tumor
ABCS_06908	LUSC	Primary Tumor
ABCS_06909	LUSC	Primary Tumor
ABCS_06910	LUSC	Primary Tumor
ABCS_06911	LUSC	Primary Tumor
ABCS_06912	LUSC	Primary Tumor
ABCS_06913	LUSC	Primary Tumor
ABCS_06914	LUSC	Primary Tumor
ABCS_06365	LUAD	Primary Tumor
ABCS_06366	LUAD	Primary Tumor
ABCS_06367	LUAD	Primary Tumor
ABCS_06368	LUAD	Primary Tumor
ABCS_06369	LUAD	Primary Tumor
ABCS_06370	LUAD	Primary Tumor
ABCS_06371	LUAD	Primary Tumor
ABCS_06372	LUAD	Primary Tumor
ABCS_06373	LUAD	Primary Tumor
ABCS_06374	LUAD	Primary Tumor
ABCS_06375	LUAD	Primary Tumor
ABCS_06376	LUAD	Primary Tumor
ABCS_06915	LUSC	Primary Tumor
ABCS_06916	LUSC	Primary Tumor
ABCS_06917	LUSC	Primary Tumor
ABCS_06918	LUSC	Primary Tumor
ABCS_06919	LUSC	Primary Tumor
ABCS_06920	LUSC	Primary Tumor
ABCS_06921	LUSC	Primary Tumor
ABCS_06922	LUSC	Primary Tumor
ABCS_06923	LUSC	Primary Tumor
ABCS_06924	LUSC	Primary Tumor
ABCS_06925	LUSC	Primary Tumor
ABCS_06926	LUSC	Primary Tumor
ABCS_06927	LUSC	Primary Tumor
ABCS_06928	LUSC	Primary Tumor
ABCS_06929	LUSC	Primary Tumor
ABCS_06930	LUSC	Primary Tumor
ABCS_06931	LUSC	Primary Tumor
ABCS_06932	LUSC	Primary Tumor
ABCS_06933	LUSC	Primary Tumor
ABCS_06934	LUSC	Primary Tumor
ABCS_06935	LUSC	Primary Tumor
ABCS_06936	LUSC	Primary Tumor
ABCS_06937	LUSC	Primary Tumor
ABCS_06938	LUSC	Primary Tumor
ABCS_06939	LUSC	Primary Tumor
ABCS_06940	LUSC	Primary Tumor
ABCS_06941	LUSC	Primary Tumor
ABCS_06942	LUSC	Primary Tumor
ABCS_06943	LUSC	Primary Tumor
ABCS_06944	LUSC	Primary Tumor
ABCS_06945	LUSC	Primary Tumor
ABCS_06946	LUSC	Primary Tumor
ABCS_06947	LUSC	Primary Tumor
ABCS_06948	LUSC	Primary Tumor
ABCS_06377	LUAD	Primary Tumor
ABCS_06378	LUAD	Primary Tumor
ABCS_06379	LUAD	Primary Tumor
ABCS_06380	LUAD	Primary Tumor
ABCS_06381	LUAD	Primary Tumor
ABCS_06382	LUAD	Primary Tumor
ABCS_06383	LUAD	Primary Tumor
ABCS_06384	LUAD	Primary Tumor
ABCS_06385	LUAD	Primary Tumor
ABCS_06949	LUSC	Primary Tumor
ABCS_06950	LUSC	Primary Tumor
ABCS_06951	LUSC	Primary Tumor
ABCS_06952	LUSC	Primary Tumor
ABCS_06953	LUSC	Primary Tumor
ABCS_06954	LUSC	Primary Tumor
ABCS_06955	LUSC	Primary Tumor
ABCS_06386	LUAD	Primary Tumor
ABCS_06387	LUAD	Primary Tumor
ABCS_06388	LUAD	Primary Tumor
ABCS_06389	LUAD	Primary Tumor
ABCS_06390	LUAD	Primary Tumor
ABCS_06391	LUAD	Primary Tumor
ABCS_06392	LUAD	Primary Tumor
ABCS_06393	LUAD	Primary Tumor
ABCS_06394	LUAD	Primary Tumor
ABCS_06395	LUAD	Primary Tumor
ABCS_06396	LUAD	Primary Tumor
ABCS_06397	LUAD	Primary Tumor
ABCS_06398	LUAD	Primary Tumor
ABCS_06399	LUAD	Primary Tumor
ABCS_06400	LUAD	Primary Tumor
ABCS_06956	LUSC	Primary Tumor
ABCS_03598	KIRC	Primary Tumor
ABCS_06957	LUSC	Primary Tumor
ABCS_06958	LUSC	Primary Tumor
ABCS_06401	LUAD	Primary Tumor
ABCS_06402	LUAD	Primary Tumor
ABCS_07720	OV	Primary Tumor
ABCS_07721	OV	Primary Tumor
ABCS_07722	OV	Primary Tumor
ABCS_06403	LUAD	Primary Tumor
ABCS_06404	LUAD	Primary Tumor
ABCS_06405	LUAD	Primary Tumor
ABCS_06406	LUAD	Primary Tumor
ABCS_06407	LUAD	Primary Tumor
ABCS_06408	LUAD	Primary Tumor
ABCS_06409	LUAD	Primary Tumor
ABCS_06410	LUAD	Primary Tumor
ABCS_06411	LUAD	Primary Tumor
ABCS_06412	LUAD	Primary Tumor
ABCS_06413	LUAD	Primary Tumor
ABCS_06414	LUAD	Primary Tumor
ABCS_06415	LUAD	Primary Tumor
ABCS_06416	LUAD	Primary Tumor
ABCS_06417	LUAD	Primary Tumor
ABCS_06418	LUAD	Primary Tumor
ABCS_06419	LUAD	Primary Tumor
ABCS_06420	LUAD	Primary Tumor
ABCS_06421	LUAD	Primary Tumor
ABCS_06422	LUAD	Primary Tumor
ABCS_06423	LUAD	Primary Tumor
ABCS_06424	LUAD	Primary Tumor
ABCS_06425	LUAD	Primary Tumor
ABCS_06426	LUAD	Primary Tumor
ABCS_06959	LUSC	Primary Tumor
ABCS_06960	LUSC	Primary Tumor
ABCS_06961	LUSC	Primary Tumor
ABCS_06962	LUSC	Primary Tumor
ABCS_06963	LUSC	Primary Tumor
ABCS_06964	LUSC	Solid Tissue Normal
ABCS_06965	LUSC	Primary Tumor
ABCS_06966	LUSC	Primary Tumor
ABCS_06967	LUSC	Primary Tumor
ABCS_06968	LUSC	Primary Tumor
ABCS_06969	LUSC	Solid Tissue Normal
ABCS_06970	LUSC	Primary Tumor
ABCS_06971	LUSC	Primary Tumor
ABCS_06972	LUSC	Solid Tissue Normal
ABCS_06973	LUSC	Primary Tumor
ABCS_06974	LUSC	Solid Tissue Normal
ABCS_06975	LUSC	Primary Tumor
ABCS_06976	LUSC	Primary Tumor
ABCS_06977	LUSC	Primary Tumor
ABCS_06978	LUSC	Solid Tissue Normal
ABCS_06979	LUSC	Primary Tumor
ABCS_06980	LUSC	Solid Tissue Normal
ABCS_06981	LUSC	Primary Tumor
ABCS_06982	LUSC	Primary Tumor
ABCS_06983	LUSC	Primary Tumor
ABCS_06984	LUSC	Primary Tumor
ABCS_06985	LUSC	Primary Tumor
ABCS_06986	LUSC	Primary Tumor
ABCS_06987	LUSC	Primary Tumor
ABCS_06988	LUSC	Primary Tumor
ABCS_06989	LUSC	Primary Tumor
ABCS_06990	LUSC	Primary Tumor
ABCS_06991	LUSC	Primary Tumor
ABCS_06992	LUSC	Primary Tumor
ABCS_06993	LUSC	Primary Tumor
ABCS_06994	LUSC	Primary Tumor
ABCS_06995	LUSC	Primary Tumor
ABCS_06996	LUSC	Primary Tumor
ABCS_06997	LUSC	Solid Tissue Normal
ABCS_06998	LUSC	Primary Tumor
ABCS_06999	LUSC	Primary Tumor
ABCS_07000	LUSC	Primary Tumor
ABCS_07001	LUSC	Primary Tumor
ABCS_07002	LUSC	Primary Tumor
ABCS_07003	LUSC	Primary Tumor
ABCS_07004	LUSC	Primary Tumor
ABCS_07005	LUSC	Primary Tumor
ABCS_07006	LUSC	Primary Tumor
ABCS_07007	LUSC	Primary Tumor
ABCS_07008	LUSC	Primary Tumor
ABCS_07009	LUSC	Primary Tumor
ABCS_06427	LUAD	Primary Tumor
ABCS_06428	LUAD	Primary Tumor
ABCS_06429	LUAD	Primary Tumor
ABCS_06430	LUAD	Primary Tumor
ABCS_06431	LUAD	Primary Tumor
ABCS_06432	LUAD	Primary Tumor
ABCS_06433	LUAD	Primary Tumor
ABCS_06434	LUAD	Primary Tumor
ABCS_06435	LUAD	Primary Tumor
ABCS_06436	LUAD	Primary Tumor
ABCS_06437	LUAD	Primary Tumor
ABCS_06438	LUAD	Primary Tumor
ABCS_06439	LUAD	Primary Tumor
ABCS_06440	LUAD	Primary Tumor
ABCS_06441	LUAD	Primary Tumor
ABCS_06442	LUAD	Primary Tumor
ABCS_06443	LUAD	Primary Tumor
ABCS_06444	LUAD	Primary Tumor
ABCS_06445	LUAD	Solid Tissue Normal
ABCS_06446	LUAD	Primary Tumor
ABCS_06447	LUAD	Primary Tumor
ABCS_06448	LUAD	Primary Tumor
ABCS_06449	LUAD	Primary Tumor
ABCS_06450	LUAD	Primary Tumor
ABCS_06451	LUAD	Primary Tumor
ABCS_06452	LUAD	Primary Tumor
ABCS_06453	LUAD	Primary Tumor
ABCS_06454	LUAD	Solid Tissue Normal
ABCS_06455	LUAD	Primary Tumor
ABCS_06456	LUAD	Primary Tumor
ABCS_06457	LUAD	Primary Tumor
ABCS_06458	LUAD	Primary Tumor
ABCS_06459	LUAD	Primary Tumor
ABCS_06460	LUAD	Primary Tumor
ABCS_06461	LUAD	Primary Tumor
ABCS_07010	LUSC	Primary Tumor
ABCS_06462	LUAD	Primary Tumor
ABCS_06463	LUAD	Primary Tumor
ABCS_06464	LUAD	Primary Tumor
ABCS_06465	LUAD	Primary Tumor
ABCS_07011	LUSC	Primary Tumor
ABCS_07012	LUSC	Primary Tumor
ABCS_07013	LUSC	Primary Tumor
ABCS_07014	LUSC	Primary Tumor
ABCS_07015	LUSC	Primary Tumor
ABCS_07016	LUSC	Primary Tumor
ABCS_07017	LUSC	Primary Tumor
ABCS_07018	LUSC	Primary Tumor
ABCS_07019	LUSC	Primary Tumor
ABCS_07020	LUSC	Solid Tissue Normal
ABCS_07021	LUSC	Primary Tumor
ABCS_07022	LUSC	Primary Tumor
ABCS_07023	LUSC	Primary Tumor
ABCS_07024	LUSC	Primary Tumor
ABCS_07025	LUSC	Primary Tumor
ABCS_07026	LUSC	Primary Tumor
ABCS_07027	LUSC	Primary Tumor
ABCS_07028	LUSC	Primary Tumor
ABCS_07029	LUSC	Primary Tumor
ABCS_07030	LUSC	Primary Tumor
ABCS_07031	LUSC	Primary Tumor
ABCS_07032	LUSC	Primary Tumor
ABCS_07033	LUSC	Primary Tumor
ABCS_07034	LUSC	Primary Tumor
ABCS_07035	LUSC	Primary Tumor
ABCS_07036	LUSC	Primary Tumor
ABCS_07037	LUSC	Primary Tumor
ABCS_07038	LUSC	Primary Tumor
ABCS_07039	LUSC	Primary Tumor
ABCS_07040	LUSC	Primary Tumor
ABCS_07041	LUSC	Primary Tumor
ABCS_07042	LUSC	Primary Tumor
ABCS_07043	LUSC	Primary Tumor
ABCS_07044	LUSC	Primary Tumor
ABCS_07045	LUSC	Primary Tumor
ABCS_07046	LUSC	Primary Tumor
ABCS_07047	LUSC	Primary Tumor
ABCS_07048	LUSC	Primary Tumor
ABCS_07049	LUSC	Primary Tumor
ABCS_07050	LUSC	Primary Tumor
ABCS_07051	LUSC	Primary Tumor
ABCS_07052	LUSC	Primary Tumor
ABCS_07053	LUSC	Primary Tumor
ABCS_07054	LUSC	Primary Tumor
ABCS_07055	LUSC	Primary Tumor
ABCS_07056	LUSC	Primary Tumor
ABCS_07057	LUSC	Primary Tumor
ABCS_07058	LUSC	Primary Tumor
ABCS_07059	LUSC	Primary Tumor
ABCS_07060	LUSC	Primary Tumor
ABCS_06466	LUAD	Primary Tumor
ABCS_06467	LUAD	Primary Tumor
ABCS_06468	LUAD	Primary Tumor
ABCS_06469	LUAD	Primary Tumor
ABCS_06470	LUAD	Solid Tissue Normal
ABCS_06471	LUAD	Primary Tumor
ABCS_06472	LUAD	Solid Tissue Normal
ABCS_06473	LUAD	Primary Tumor
ABCS_06474	LUAD	Primary Tumor
ABCS_06475	LUAD	Primary Tumor
ABCS_06476	LUAD	Primary Tumor
ABCS_06477	LUAD	Primary Tumor
ABCS_06478	LUAD	Primary Tumor
ABCS_06479	LUAD	Primary Tumor
ABCS_06480	LUAD	Primary Tumor
ABCS_06481	LUAD	Primary Tumor
ABCS_06482	LUAD	Primary Tumor
ABCS_06483	LUAD	Primary Tumor
ABCS_06484	LUAD	Primary Tumor
ABCS_06485	LUAD	Primary Tumor
ABCS_06486	LUAD	Primary Tumor
ABCS_06487	LUAD	Primary Tumor
ABCS_06488	LUAD	Primary Tumor
ABCS_06489	LUAD	Primary Tumor
ABCS_06490	LUAD	Primary Tumor
ABCS_06491	LUAD	Primary Tumor
ABCS_06492	LUAD	Primary Tumor
ABCS_06493	LUAD	Primary Tumor
ABCS_06494	LUAD	Primary Tumor
ABCS_06495	LUAD	Primary Tumor
ABCS_06496	LUAD	Primary Tumor
ABCS_06497	LUAD	Primary Tumor
ABCS_06498	LUAD	Primary Tumor
ABCS_06499	LUAD	Primary Tumor
ABCS_06500	LUAD	Primary Tumor
ABCS_06501	LUAD	Primary Tumor
ABCS_07061	LUSC	Primary Tumor
ABCS_07062	LUSC	Solid Tissue Normal
ABCS_07063	LUSC	Primary Tumor
ABCS_07064	LUSC	Primary Tumor
ABCS_07065	LUSC	Solid Tissue Normal
ABCS_07066	LUSC	Primary Tumor
ABCS_07067	LUSC	Primary Tumor
ABCS_07068	LUSC	Primary Tumor
ABCS_07069	LUSC	Primary Tumor
ABCS_07070	LUSC	Primary Tumor
ABCS_06502	LUAD	Primary Tumor
ABCS_06503	LUAD	Primary Tumor
ABCS_06504	LUAD	Primary Tumor
ABCS_06505	LUAD	Primary Tumor
ABCS_06506	LUAD	Primary Tumor
ABCS_06507	LUAD	Solid Tissue Normal
ABCS_06508	LUAD	Primary Tumor
ABCS_06509	LUAD	Solid Tissue Normal
ABCS_06510	LUAD	Primary Tumor
ABCS_06511	LUAD	Primary Tumor
ABCS_06512	LUAD	Primary Tumor
ABCS_06513	LUAD	Primary Tumor
ABCS_06514	LUAD	Primary Tumor
ABCS_06515	LUAD	Primary Tumor
ABCS_06516	LUAD	Primary Tumor
ABCS_06517	LUAD	Primary Tumor
ABCS_06518	LUAD	Primary Tumor
ABCS_06519	LUAD	Primary Tumor
ABCS_07071	LUSC	Primary Tumor
ABCS_07072	LUSC	Solid Tissue Normal
ABCS_07073	LUSC	Primary Tumor
ABCS_07074	LUSC	Solid Tissue Normal
ABCS_07075	LUSC	Primary Tumor
ABCS_07076	LUSC	Primary Tumor
ABCS_07077	LUSC	Primary Tumor
ABCS_06520	LUAD	Primary Tumor
ABCS_06521	LUAD	Primary Tumor
ABCS_06522	LUAD	Solid Tissue Normal
ABCS_06523	LUAD	Primary Tumor
ABCS_06524	LUAD	Primary Tumor
ABCS_06525	LUAD	Primary Tumor
ABCS_06526	LUAD	Primary Tumor
ABCS_06527	LUAD	Primary Tumor
ABCS_07078	LUSC	Primary Tumor
ABCS_07079	LUSC	Primary Tumor
ABCS_07080	LUSC	Primary Tumor
ABCS_07081	LUSC	Primary Tumor
ABCS_07082	LUSC	Primary Tumor
ABCS_07083	LUSC	Primary Tumor
ABCS_07084	LUSC	Primary Tumor
ABCS_07085	LUSC	Primary Tumor
ABCS_07086	LUSC	Primary Tumor
ABCS_06528	LUAD	Primary Tumor
ABCS_06529	LUAD	Primary Tumor
ABCS_06530	LUAD	Primary Tumor
ABCS_06531	LUAD	Primary Tumor
ABCS_06532	LUAD	Primary Tumor
ABCS_06533	LUAD	Primary Tumor
ABCS_06534	LUAD	Primary Tumor
ABCS_06535	LUAD	Primary Tumor
ABCS_06536	LUAD	Primary Tumor
ABCS_06537	LUAD	Primary Tumor
ABCS_06538	LUAD	Primary Tumor
ABCS_06539	LUAD	Primary Tumor
ABCS_07087	LUSC	Primary Tumor
ABCS_07088	LUSC	Primary Tumor
ABCS_07089	LUSC	Primary Tumor
ABCS_07090	LUSC	Primary Tumor
ABCS_07091	LUSC	Primary Tumor
ABCS_07092	LUSC	Primary Tumor
ABCS_06540	LUAD	Primary Tumor
ABCS_06541	LUAD	Primary Tumor
ABCS_06542	LUAD	Primary Tumor
ABCS_06543	LUAD	Primary Tumor
ABCS_06544	LUAD	Primary Tumor
ABCS_06545	LUAD	Primary Tumor
ABCS_06546	LUAD	Primary Tumor
ABCS_06547	LUAD	Primary Tumor
ABCS_06548	LUAD	Primary Tumor
ABCS_06549	LUAD	Primary Tumor
ABCS_06550	LUAD	Primary Tumor
ABCS_06551	LUAD	Primary Tumor
ABCS_06552	LUAD	Primary Tumor
ABCS_06553	LUAD	Primary Tumor
ABCS_06554	LUAD	Primary Tumor
ABCS_06555	LUAD	Primary Tumor
ABCS_06556	LUAD	Primary Tumor
ABCS_06557	LUAD	Primary Tumor
ABCS_06558	LUAD	Primary Tumor
ABCS_06559	LUAD	Primary Tumor
ABCS_06560	LUAD	Primary Tumor
ABCS_06561	LUAD	Primary Tumor
ABCS_06562	LUAD	Primary Tumor
ABCS_06563	LUAD	Primary Tumor
ABCS_06564	LUAD	Primary Tumor
ABCS_07093	LUSC	Primary Tumor
ABCS_07094	LUSC	Primary Tumor
ABCS_07095	LUSC	Primary Tumor
ABCS_07096	LUSC	Primary Tumor
ABCS_07097	LUSC	Primary Tumor
ABCS_07098	LUSC	Primary Tumor
ABCS_07099	LUSC	Primary Tumor
ABCS_07100	LUSC	Primary Tumor
ABCS_07101	LUSC	Primary Tumor
ABCS_07102	LUSC	Primary Tumor
ABCS_07103	LUSC	Primary Tumor
ABCS_07104	LUSC	Primary Tumor
ABCS_07105	LUSC	Primary Tumor
ABCS_07106	LUSC	Primary Tumor
ABCS_06565	LUAD	Primary Tumor
ABCS_06566	LUAD	Primary Tumor
ABCS_06567	LUAD	Primary Tumor
ABCS_06568	LUAD	Primary Tumor
ABCS_06569	LUAD	Primary Tumor
